"extid","barcode"
"460532","5010075000244"
"460994","72417123436"
"461573","5413149617346"
"461595","5413149617315"
"461616","5413149548725"
"461650","5413149548695"
"461869","5010017083168"
"462493","5413149663046"
"464486","5000433010176"
"464507","5000433010114"
"464574","5010029210880"
"465483","5030008002275"
"465724","5000347033230"
"465922","5000166071611"
"465933","5000166071628"
"465944","4008429042652"
"466446","4008429042638"
"466457","5000166071574"
"466468","5000166071567"
"466479","5000166071581"
"466480","5000166071604"
"466491","5000166071598"
"466721","5000232842015"
"466732","5000232842039"
"466754","5000232842053"
"467081","5024222011489"
"470272","5029053026756"
"471082","5012427104600"
"471093","5012427104709"
"471125","5012427104808"
"471136","5012427104907"
"471246","5000382024156"
"471411","5000382024170"
"472089","5024993727930"
"472122","5024993727855"
"472144","5024993728104"
"472979","5000387905641"
"472980","5410316992121"
"474049","5000433010299"
"474083","5000433010237"
"474148","5000433010206"
"474160","5000347033995"
"474544","8041790200128"
"474555","8041790200135"
"477095","5000157069122"
"477491","5000347035050"
"478290","5000393076625"
"479989","5010038048733"
"480044","5010038048931"
"483166","5000434600499"
"483287","5034660519225"
"483298","5034660519232"
"483308","5034660519249"
"483319","5000347035159"
"485621","5000382024644"
"486794","5010438011276"
"487285","5010029210972"
"487878","5000328154701"
"487889","5000328304816"
"487900","5000328437842"
"488435","5010478887923"
"489201","5034660519256"
"489212","5000168149691"
"490201","3083680096812"
"490816","5000382023296"
"490838","5000382023272"
"491572","5011308886048"
"491583","5011308006057"
"491594","5011308006071"
"491604","5011308006156"
"491615","5011308886147"
"491626","5011308006170"
"491648","5011308006163"
"491671","5011308006101"
"491693","5011308006088"
"491703","5011308886093"
"491714","5011308006064"
"491747","5011308006224"
"491770","5011308006255"
"491835","5011308006217"
"492722","5010102112322"
"493620","24000063766"
"495965","5000433011234"
"495987","5000433011203"
"496016","5000433010961"
"496072","5000433011081"
"496083","5000433011142"
"496094","5000433011050"
"496346","5034660517863"
"497453","5011417551530"
"497464","5011417551592"
"497475","5011417551615"
"497486","5011417551608"
"497497","5011417551622"
"497529","5011417551547"
"497552","5011417551509"
"497563","5011417551578"
"497640","5013967005709"
"498362","5010017091743"
"498526","5000382024439"
"498537","5000382023234"
"498548","5000382023357"
"498890","5011007003654"
"499084","5011061842640"
"503602","50172405"
"507051","50172399"
"507402","50172375"
"555557","4050300200682"
"577601","5000243932309"
"603119","5024993727848"
"606703","3083680004503"
"608202","3083680004534"
"611514","4002359634727"
"621924","3057640308253"
"655910","5000118015373"
"671853","3048431002696"
"700560","5000185003303"
"753412","5027876033616"
"753610","5027876033630"
"754310","5027876033692"
"763019","5010024150112"
"769725","50159390"
"781604","5000184161011"
"781659","5000184161004"
"781703","5000184161059"
"784111","5000184594291"
"784760","5000184162018"
"838456","50159468"
"843960","5010015215004"
"856755","5000218005656"
"865508","5010067332186"
"866956","5011898008011"
"891268","5413149836051"
"893712","4002359632877"
"893910","4002359632372"
"894302","4002359632181"
"897369","5413149007543"
"977319","5000325005693"
"998411","5000159031097"
"998619","5000159031134"
"017554","BESTWY"
"AB0014","5010092001408"
"AB0017","5010092001705"
"AB0023","5010092002313"
"AB0040","5010092004003"
"AB0060","5010092006014"
"AB0063","5010092006342"
"AB0064","5010092006403"
"AB0079","5010092007905"
"AB0082","5010092008209"
"AB0135","5010092013524"
"AB0151","5010092015108"
