"Category_Id2","Category_Name2","Description2","Category_ID1","CreatedBy","CreatedDateTime","ModifiedBy","ModifiedDateTime","Is_Deleted","Br_Code","BackColor","ForeColor"
"10168","DEMERARA","","10025","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10169","NOODLES","","10030","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10170","PEAS","","10038","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10171","BATTERIES","","10032","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10172","TOILETRIES","","10039","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10173","JAMS","","10017","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10174","BEVERAGES","","10021","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10175","CASS MIXES","","10030","0001","18/06/2009 15:27:19","0001","18/06/2009 15:27:19","N","EH","",""
"10176","BAHLSEN","","10028","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10177","RTS MEDIUM","","10057","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10178","AIR F/NERS","","10034","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10179","SWEET PICKLE","","10029","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10180","HERBS&SPICES","","10030","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10181","CURRY POWDERS","","10030","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10182","TISSUES","","10031","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10183","MUSHROOMS","","10038","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10184","CASS&STEWS","","10018","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10185","OWN LABEL","","10028","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10186","BLUE DRAGON","","10019","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10187","ITALIAN","","10008","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10188","HALF/ QUARTERS/ MINI","","10116","0001","18/06/2009 15:27:20","0001","22/01/2013 14:54:57","Y","EH","",""
"10189","SAUCES COOKING","","10030","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10190","HOTDOGS&H/BURG","","10018","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10191","LITTERS","","10015","0001","18/06/2009 15:27:20","0001","18/06/2009 15:27:20","N","EH","",""
"10192","PASTA CANNED","","10038","0001","18/06/2009 15:27:21","0001","18/06/2009 15:27:21","N","EH","",""
"10193","BEANS VAR","","10038","0001","18/06/2009 15:27:21","0001","18/06/2009 15:27:21","N","EH","",""
"10194","PIPE","","10058","0001","18/06/2009 15:27:21","0001","18/06/2009 15:27:21","N","EH","",""
"10195","SEASONAL","","10009","0001","18/06/2009 15:27:21","0001","18/06/2009 15:27:21","N","EH","",""
"10196","BRIT AMER ROTHMA","","10002","0001","18/06/2009 15:27:21","0001","18/06/2009 15:27:21","N","EH","",""
"10197","GALLAHER","","10002","0001","18/06/2009 15:27:21","0001","18/06/2009 15:27:21","N","EH","",""
"10198","RICE EASY COOK","","10030","0001","18/06/2009 15:27:21","0001","18/06/2009 15:27:21","N","EH","",""
"10199","FOIL","","10034","0001","18/06/2009 15:27:22","0001","18/06/2009 15:27:22","N","EH","",""
"10200","MARYLAND","","10028","0001","18/06/2009 15:27:22","0001","18/06/2009 15:27:22","N","EH","",""
"10201","D/WASHER ITEMS","","10034","0001","18/06/2009 15:27:22","0001","18/06/2009 15:27:22","N","EH","",""
"10202","MULTI PK CANS","","10001","0001","18/06/2009 15:27:22","0001","18/06/2009 15:27:22","N","EH","",""
"10203","ROLLING","","10058","0001","18/06/2009 15:27:22","0001","18/06/2009 15:27:22","N","EH","",""
"10204","SGL FAMILY","","10013","0001","18/06/2009 15:27:22","0001","18/06/2009 15:27:22","N","EH","",""
"10205","BARS","","10010","0001","18/06/2009 15:27:22","0001","18/06/2009 15:27:22","N","EH","",""
"10206","TOILET CLEANERS","","10034","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10207","ELECTRIC BULBS","","10034","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10208","POTATOES","","10038","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10209","SUNDRIES","","10034","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10210","SUGAR","","10036","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10211","STOCK CUBES","","10030","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10212","PACKET SOUPS","","10057","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10213","KIDDIES","","10036","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10214","MILK&RUSKS","","10039","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10215","SAUCES POUROVER","","10030","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10216","","","10002","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10217","WARBURTONS","","10059","0001","18/06/2009 15:27:23","0001","18/06/2009 15:27:23","N","EH","",""
"10218","DELI","","10060","0001","18/06/2009 15:27:24","0001","18/06/2009 15:27:24","N","EH","",""
"10219","FRESH","","10061","0001","18/06/2009 15:27:24","0001","18/06/2009 15:27:24","N","EH","",""
"10220","FLUID/GAS&FLINTS","","10035","0001","18/06/2009 15:27:25","0001","18/06/2009 15:27:25","N","EH","",""
"10221","SUGAR","","10062","0001","18/06/2009 15:27:26","0001","18/06/2009 15:27:26","N","EH","",""
"10222","RUMS","","10006","0001","18/06/2009 15:27:27","0001","18/06/2009 15:27:27","N","EH","",""
"10223","1LTR BOTTLES","","10001","0001","18/06/2009 15:27:27","0001","18/06/2009 15:27:27","N","EH","",""
"10224","BAGS","","10063","0001","18/06/2009 15:27:27","0001","18/06/2009 15:27:27","N","EH","",""
"10225","INDIGESTION RELIEF","","10022","0001","18/06/2009 15:27:27","0001","18/06/2009 15:27:27","N","EH","",""
"10226","BOXES","","10010","0001","18/06/2009 15:27:27","0001","18/06/2009 15:27:27","N","EH","",""
