"extid","qty","price"
"033266","1","2.99"
"033332","1","2.69"
"036838","1","3.29"
"040125","1","2.99"
"040938","1","0.95"
"043456","1","1.25"
"051642","1","0.79"
"052276","1","0.85"
"056988","1","1.19"
"070751","1","2.99"
"071385","1","0.99"
"078263","1","3.79"
"080897","1","0.25"
"090021","1","0.38"
"090076","1","0.25"
"090131","1","0.35"
"090483","1","0.45"
"090548","1","0.29"
"090647","1","0.82"
"090658","1","0.58"
"090670","1","0.47"
"090681","1","0.53"
"090780","1","0.69"
"090791","1","0.29"
"090911","1","0.52"
"091039","1","0.76"
"095378","1","0.35"
"097581","1","1.19"
"097723","1","1.99"
"098742","1","0.2"
"099046","1","0.59"
"105284","1","2.79"
"106643","1","1.19"
"127097","1","1.29"
"127141","1","1.29"
"129343","1","4.55"
"129651","1","0.89"
"138448","1","1.39"
"139038","1","1.89"
"139807","1","1"
"141233","1","1.19"
"142670","1","1.15"
"145880","1","1.69"
"147576","1","1.55"
"149471","1","0.69"
"156231","1","0.99"
"157052","1","2.95"
"157744","1","2.39"
"163651","1","5.59"
"170400","1","3.95"
"171902","1","1.15"
"179579","1","4.39"
"186032","1","0.59"
"186186","1","0.59"
"202163","1","0.99"
"203182","1","0.2"
"203753","1","0.65"
"203830","1","0.69"
"205548","1","0.99"
"206039","1","1.79"
"221304","1","1.49"
"222158","1","1.49"
"222653","1","1.49"
"224459","1","1.99"
"227681","1","0.99"
"235833","1","1.25"
"236281","1","1.15"
"237563","1","1.39"
"249966","1","1.45"
"250735","1","1.49"
"250746","1","1.49"
"251776","1","0.69"
"252070","1","0.69"
"256056","1","0.75"
"256090","1","0.5"
"256649","1","1.39"
"257866","1","0.75"
"257877","1","0.75"
"257888","1","0.75"
"257899","1","0.75"
"259981","1","0.99"
"259992","1","0.99"
"263290","1","0.29"
"267441","1","0.65"
"277532","1","1.39"
"283483","1","5.99"
"284578","1","0.99"
"285179","1","0.9"
"285883","1","4.29"
"286736","1","0.99"
"288291","1","2.79"
"295161","1","0.56"
"295194","1","1.72"
"295347","1","0.99"
"295369","1","0.29"
"295381","1","0.21"
"295392","1","1.15"
"295424","1","0.21"
"295435","1","0.45"
"295446","1","1.29"
"295480","1","0.26"
"300302","1","3.65"
"301815","1","2.99"
"302119","1","1.19"
"302285","1","0.75"
"307082","1","0.65"
"307268","1","0.95"
"310394","1","3.63"
"311094","1","1.45"
"315993","1","6.99"
"317304","1","0.79"
"317359","1","1.59"
"317458","1","0.99"
"317809","1","1.39"
"317908","1","0.89"
"320650","1","1.19"
"320726","1","3.19"
"330576","1","1.55"
"330983","1","1.69"
"330994","1","0.89"
"331166","1","0.75"
"338440","1","2.29"
"338484","1","2.29"
"339139","1","0.49"
"343042","1","0.44"
"344676","1","0.99"
"344764","1","0.99"
"344863","1","1.39"
"348355","1","0.59"
"349978","1","0.99"
"349990","1","0.99"
"350066","1","1.25"
"350077","1","0.65"
"350088","1","0.99"
"350176","1","2.79"
"350198","1","2.79"
"350219","1","2.79"
"350231","1","2.79"
"350242","1","2.79"
"351436","1","0.01"
"358732","1","2.79"
"362382","1","3.69"
"362744","1","0.39"
"366533","1","0.5"
"368098","1","0.72"
"369930","1","1.09"
"369963","1","0.79"
"369974","1","0.79"
"371092","1","1.65"
"372363","1","0.99"
"373986","1","2.55"
"376273","1","0.69"
"376437","1","4.79"
"377379","1","0.75"
"377391","1","0.75"
"380625","1","4.65"
"380636","1","4.65"
"382597","1","1.37"
"384931","1","0.55"
"386847","1","0.84"
"386946","1","1.39"
"386957","1","1.39"
"386968","1","1.49"
"388269","1","0.99"
"388270","1","0.99"
"388281","1","0.99"
"388346","1","0.89"
"391274","1","0.79"
"392446","1","4.55"
"392468","1","4.55"
"393092","1","2.29"
"393289","1","0.99"
"393355","1","1.09"
"393696","1","1.37"
"394154","1","0.5"
"397672","1","0.55"
"397683","1","0.55"
"398691","1","0.75"
"401948","1","1.79"
"404136","1","1"
"404169","1","1"
"404949","1","3.99"
"404950","1","5"
"404972","1","0.35"
"404983","1","0.35"
"405573","1","0.69"
"405584","1","0.69"
"405595","1","0.69"
"405649","1","0.69"
"405672","1","0.69"
"405704","1","0.69"
"405726","1","0.69"
"407335","1","1.55"
"407357","1","0.75"
"408684","1","1.19"
"408695","1","0.99"
"410230","1","0.59"
"410241","1","0.59"
"410252","1","0.99"
"410263","1","1.09"
"412773","1","2.49"
"412915","1","3.5"
"412926","1","3.5"
"413286","1","11.49"
"413363","1","0.69"
"415905","1","1.69"
"415916","1","1.69"
"416144","1","0.99"
"416155","1","0.99"
"416506","1","0.79"
"416528","1","0.79"
"417536","1","5.29"
"417558","1","5.29"
"417569","1","5.29"
"417570","1","5.29"
"417680","1","0.75"
"417767","1","2.25"
"417778","1","2.29"
"419332","1","0.99"
"419376","1","0.59"
"419585","1","1.69"
"420101","1","0.89"
"420112","1","0.89"
"420486","1","0.55"
"420507","1","0.59"
"420772","1","0.59"
"420783","1","0.59"
"422480","1","1.49"
"422491","1","1.49"
"423070","1","0.99"
"423706","1","0.75"
"423861","1","1.65"
"424132","1","1.29"
"424143","1","1.29"
"424561","1","2.49"
"424572","1","2.49"
"424583","1","2.49"
"424604","1","2.49"
"425216","1","0.49"
"425689","1","0.65"
"426619","1","0.99"
"427858","1","5.5"
"427979","1","2.59"
"428097","1","3.99"
"428624","1","0.69"
"429609","1","1.09"
"429610","1","1.65"
"430049","1","3.25"
"430137","1","0.29"
"430203","1","3.99"
"432472","1","5.5"
"432483","1","5.5"
"432494","1","3.79"
"432636","1","0.99"
"432724","1","0.99"
"432966","1","0.49"
"432977","1","0.49"
"433051","1","1.99"
"433062","1","2.09"
"433073","1","2.09"
"433095","1","1.99"
"433138","1","1.99"
"433149","1","1.99"
"433194","1","1.05"
"433293","1","1.89"
"433930","1","1.59"
"434784","1","0.45"
"434795","1","0.45"
"434805","1","0.45"
"434827","1","0.45"
"434838","1","0.45"
"434872","1","0.92"
"434960","1","0.5"
"434971","1","0.4"
"434982","1","0.69"
"434993","1","1.15"
"435000","1","1.15"
"435242","1","0.7"
"435253","1","0.7"
"435286","1","0.79"
"435330","1","1.65"
"436085","1","0.59"
"437246","1","0.37"
"438287","1","1.09"
"438298","1","1.09"
"438308","1","1.09"
"438386","1","0.65"
"441973","1","5.99"
"442233","1","0.59"
